customer_id,gender,is_senior_citizen,partner,dependents,phone_service,phone_service_desc,internet_service,service_type,internet_service_desc,contract_type,contract_type_desc,payment_type,monthly_charges,total_charges,tenure_in_months,tenure_full_months,avg_monthly_charges,charges_match,churn,is_female,has_churned,has_phone,has_internet,has_phone_and_internet,partner_dependents
0002-ORFBO,Female,0,Yes,Yes,1,One Line,1,Phone & Internet,DSL,1,1 Year,Mailed check,65.6,593.3,9.044207317,9,$65.60,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,3
0003-MKNFE,Male,0,No,No,2,Two or More Lines,1,Phone & Internet,DSL,0,Month-to-Month,Mailed check,59.9,542.4,9.05509182,9,$59.90,TRUE,No,FALSE,FALSE,TRUE,TRUE,TRUE,0
0004-TLHLJ,Male,0,No,No,1,One Line,2,Phone & Internet,Fiber Optic,0,Month-to-Month,Electronic check,73.9,280.85,3.800405954,3,$73.90,TRUE,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,0
0011-IGKFF,Male,1,Yes,No,1,One Line,2,Phone & Internet,Fiber Optic,0,Month-to-Month,Electronic check,98,1237.85,12.63112245,12,$98.00,TRUE,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,1
0013-EXCHZ,Female,1,Yes,No,1,One Line,2,Phone & Internet,Fiber Optic,0,Month-to-Month,Mailed check,83.9,267.4,3.187127533,3,$83.90,TRUE,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,1
0013-MHZWF,Female,0,No,Yes,1,One Line,1,Phone & Internet,DSL,0,Month-to-Month,Credit card (automatic),69.4,571.45,8.234149856,8,$69.40,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,2
0013-SMEOE,Female,1,Yes,No,1,One Line,2,Phone & Internet,Fiber Optic,2,2 Year,Bank transfer (automatic),109.7,7904.25,72.05332726,72,$109.70,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,1
0014-BMAQU,Male,0,Yes,No,2,Two or More Lines,2,Phone & Internet,Fiber Optic,2,2 Year,Credit card (automatic),84.65,5377.8,63.52982871,63,$84.65,TRUE,No,FALSE,FALSE,TRUE,TRUE,TRUE,1
0015-UOCOJ,Female,1,No,No,1,One Line,1,Phone & Internet,DSL,0,Month-to-Month,Electronic check,48.2,340.35,7.06120332,7,$48.20,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,0
0016-QLJIS,Female,0,Yes,Yes,2,Two or More Lines,1,Phone & Internet,DSL,2,2 Year,Mailed check,90.45,5957.9,65.86954118,65,$90.45,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,3
0017-DINOC,Male,0,No,No,0,No Phone Service,1,Internet Only,DSL,2,2 Year,Credit card (automatic),45.2,2460.55,54.4369469,54,$45.20,TRUE,No,FALSE,FALSE,FALSE,TRUE,FALSE,0
0017-IUDMW,Female,0,Yes,Yes,2,Two or More Lines,2,Phone & Internet,Fiber Optic,2,2 Year,Credit card (automatic),116.8,8456.75,72.40368151,72,$116.80,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,3
0018-NYROU,Female,0,Yes,No,1,One Line,2,Phone & Internet,Fiber Optic,0,Month-to-Month,Electronic check,68.95,351.5,5.097897027,5,$68.95,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,1
0019-EFAEP,Female,0,No,No,2,Two or More Lines,2,Phone & Internet,Fiber Optic,2,2 Year,Bank transfer (automatic),101.3,7261.25,71.68065153,71,$101.30,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,0
0019-GFNTW,Female,0,No,No,0,No Phone Service,1,Internet Only,DSL,2,2 Year,Bank transfer (automatic),45.05,2560.1,56.82796892,56,$45.05,TRUE,No,TRUE,FALSE,FALSE,TRUE,FALSE,0
0020-INWCK,Female,0,Yes,Yes,2,Two or More Lines,2,Phone & Internet,Fiber Optic,2,2 Year,Credit card (automatic),95.75,6849.4,71.53420366,71,$95.75,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,3
0020-JDNXP,Female,0,Yes,Yes,0,No Phone Service,1,Internet Only,DSL,1,1 Year,Mailed check,61.25,1993.2,32.54204082,32,$61.25,TRUE,No,TRUE,FALSE,FALSE,TRUE,FALSE,3
0021-IKXGC,Female,1,No,No,2,Two or More Lines,2,Phone & Internet,Fiber Optic,0,Month-to-Month,Electronic check,72.1,72.1,1,1,$72.10,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,0
0022-TCJCI,Male,1,No,No,1,One Line,1,Phone & Internet,DSL,1,1 Year,Credit card (automatic),62.7,2791.5,44.5215311,44,$62.70,TRUE,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,0
0023-HGHWL,Male,1,No,No,0,No Phone Service,1,Internet Only,DSL,0,Month-to-Month,Electronic check,25.1,25.1,1,1,$25.10,TRUE,Yes,FALSE,TRUE,FALSE,TRUE,FALSE,0
